No,Model Adı (TR),Model Name (EN),Kategori,Amacı (TR),Purpose (EN),Anahtar Kavramlar (TR),Keywords (EN),Standartlar
11,Kara Para Aklama Tespit Modeli,Anti-Money Laundering Model,Dolandırıcılık,"Müşteri işlemlerini şüpheli para aklama paternleri açısından analiz eder; structuring, smurfing, layering ve hızlı hesap döngüleri gibi tipolojileri tespit eder. MASAK düzenlemeleri ve FATF tavsiyeleri kapsamında zorunlu olup graf veritabanı ve ağ analizi teknikleri yaygın kullanılır.","Analyzes customer transactions for suspicious money laundering patterns; detects typologies such as structuring, smurfing, layering, and rapid account cycling. Required under MASAK regulations and FATF recommendations, with graph databases and network analysis techniques widely used.",AML; CTF; FIU; KYC; MASAK uyumu; SAR; STR; alarm onceliklendirme; ağ analizi; genis kapsamli durum tespiti; gercek faydalanici; graf sinir agi; islem izleme; kara para aklama; kural tabanli esik; layering; mali istihbarat birimi; musteri durum tespiti; musteri tani; nakit islem raporu; risk tabanli yaklasim; smurfing; structuring; supheli islem raporu; terorizmle mucadele finansmani; tipoloji tespiti; yanlis pozitif azaltma; şüpheli işlem bildirimi,AML; CDD; CTF; CTR; EDD; FIU; KYC; SAR; STR; alert triage; beneficial ownership; counter-terrorism financing; currency transaction report; customer due diligence; enhanced due diligence; false positive reduction; financial intelligence unit; graph DB; graph neural network; know your customer; layering; money laundering; network analysis; risk-based approach; rule-based threshold; smurfing; structuring; suspicious activity report; transaction monitoring; typology detection,FATF 40 Recommendations; MASAK 5549; BSA; AMLD6; Wolfsberg
12,Yaptırım Listesi Tarama Modeli,Sanctions Screening Model,Dolandırıcılık,"Müşteri kayıtları, hesap sahipleri, transfer alıcıları ve ticari karşı tarafları OFAC, BM, AB ve yerel yaptırım listeleriyle gerçek zamanlı karşılaştırır. İsim varyasyonları, transliterasyon farklılıkları ve takma adları yakalamak için Jaro-Winkler, Levenshtein gibi fuzzy matching algoritmaları kullanır.","Compares customer records, account holders, transfer recipients, and commercial counterparties against OFAC, UN, EU, and local sanctions lists in real-time. Uses fuzzy matching algorithms like Jaro-Winkler and Levenshtein to catch name variations, transliteration differences, and aliases.",AB konsolide listesi; BM Guvenlik Konseyi listesi; Jaro-Winkler; Levenshtein; OFAC tarama; PEP taraması; SDN listesi; Soundex; agirlikli puanlama; esik ayarlama; fonetik eslestirme; fuzzy matching; gercek faydalanici taramasi; gercek zamanli tarama; isim eşleştirme; izleme listesi filtreleme; konsolide yaptirim listesi; olumsuz medya taramasi; takma ad tespiti; toplu tarama; transliterasyon eslestirme; varlik cozumleme; varlik korelasyon skoru; yanlis pozitif orani; yaptırım taraması; yuzde 50 kurali,50 percent rule; DBA name matching; EU consolidated list; HM Treasury list; Jaro-Winkler; Levenshtein; OFAC screening; PEP screening; SDN list; Soundex; UN Security Council list; adverse media screening; alias detection; batch screening; beneficial owner screening; consolidated sanctions list; entity correlation score; entity resolution; false positive rate; fuzzy matching; name matching; phonetic matching; real-time screening; sanctions screening; threshold tuning; transliteration matching; watchlist filtering; weighted scoring,OFAC; UN Sanctions; EU Consolidated; HM Treasury; FATF Rec 6
13,Müşteri Kaybı Tahmin Modeli,Customer Churn Prediction Model,Müşteri Analitiği,"Bankayı önümüzdeki 3 ila 6 ay içinde terk etme olasılığı yüksek olan müşterileri önceden belirler. Ürün kullanım sıklığı, şikayet sayısı, çağrı merkezi etkileşimleri ve rakip banka transferleri analiz edilerek churn skoru üretilir. Riskli müşteriler için elde tutma kampanyaları tetiklenir.","Identifies customers at high risk of leaving the bank within the next 3 to 6 months. Generates a churn score by analyzing product usage frequency, complaint count, call center interactions, and transfers to competitor banks. Triggers retention campaigns for at-risk customers.",AUC-ROC; Cox orantili tehlike; F1 skoru; Kaplan-Meier tahmincisi; LightGBM; SHAP aciklanabilirlik; XGBoost; atil hesap tespiti; ayrılış tahmini; churn; elde tutma; erken uyari sinyali; geri kazanma kampanyasi; kayip orani; kesinlik-duyarlilik; musteri etkilesim skoru; müşteri elde tutma; müşteri kaybı; müşteri terk; olaya kadar sure analizi; ozellik onemi; proaktif elde tutma; rastgele orman; retention; survival analysis; tehlike fonksiyonu; topluluk modeli; urun kullanim dususu,AUC-ROC; Cox proportional hazard; F1 score; Kaplan-Meier estimator; LightGBM; SHAP explainability; XGBoost; attrition; attrition rate; customer churn; customer engagement score; customer retention; defection prediction; dormancy detection; early warning signal; ensemble model; feature importance; hazard function; precision-recall; proactive retention; product usage decline; random forest; retention; survival analysis; time-to-event analysis; win-back campaign,GDPR; KVKK; CRM standards
14,Müşteri Yaşam Boyu Değer Modeli,Customer Lifetime Value Model,Müşteri Analitiği,"Bir müşterinin banka ile ilişkisi süresince üreteceği toplam ekonomik değeri tahmin eder. Kullandığı ürün portföyü, işlem hacmi, ortalama bakiye, yaş, segment ve beklenen ilişki süresi kullanılarak hesaplanır. Pazarlama bütçe dağılımı ve VIP segment yönetiminde kullanılır.","Estimates the total economic value a customer will generate throughout their relationship with the bank. Calculated using product portfolio, transaction volume, average balance, age, segment, and expected relationship duration. Used for marketing budget allocation and VIP segment management.",ARPU; BG/NBD modeli; CLV; DCF; LTV; NPV; Pareto/NBD modeli; VIP segment; beta-geometrik model; elde tutma orani; gelecek değer; iskonto orani; karlılık; kayip orani etkisi; kohort analizi; kullanici basina ortalama gelir; marj carpani; musteri karlilik analizi; musteri ozvarligi; müşteri yaşam boyu değer; net bugünkü değer; parasal deger tahmini; pazarlama yatırımı; satin alma sikligi; sozlesmeli ve sozlesmesiz; tahmine dayali CLV; tarihsel CLV; yuksek degerli segment,ARPU; BG/NBD model; CLV; DCF; LTV; NPV; Pareto/NBD model; VIP segment; average revenue per user; beta-geometric model; churn rate impact; cohort analysis; contractual vs non-contractual; customer equity; customer lifetime value; customer profitability analysis; discount rate; future value; high-value segment; historical CLV; margin multiple; marketing investment; monetary value prediction; predictive CLV; profitability; purchase frequency; retention rate,Marketing analytics; segment reporting; CRM
15,Müşteri Segmentasyon Modeli,Customer Segmentation Model,Müşteri Analitiği,"Tüm müşteri tabanını davranışsal, demografik ve değer eksenli özelliklerine göre homojen gruplara ayırır. K-Means, hiyerarşik kümeleme veya RFM (Recency-Frequency-Monetary) gibi denetimsiz öğrenme teknikleri kullanılır. Segmentler hedefli pazarlama, ürün geliştirme ve fiyatlandırmada referans alınır.","Divides the entire customer base into homogeneous groups based on behavioral, demographic, and value-based characteristics. Uses unsupervised learning techniques like K-Means, hierarchical clustering, or RFM (Recency-Frequency-Monetary). Segments serve as reference for targeted marketing, product development, and pricing.",AUM segmentasyonu; DBSCAN; Gauss karisim modeli; K-means; Oklid mesafesi; PCA; RFM; birlestirici kumeleme; boyut indirgeme; clustering; davranış kümesi; dirsek yontemi; egilim tabanli segment; hiyerarşik kümeleme; kume profilleme; merkez tabanli kumeleme; mikro segmentasyon; müşteri kümeleme; ozellik olcekleme; persona; segmentasyon; siluet skoru; standartlastirma; temel bilesen analizi; unsupervised; yogunluk tabanli kumeleme; yonetim altindaki varliklar,AUM segmentation; DBSCAN; Euclidean distance; GMM; Gaussian mixture model; K-means; PCA; RFM; agglomerative clustering; assets under management; behavior cluster; centroid-based clustering; cluster profiling; clustering; customer segmentation; density-based clustering; dimensionality reduction; elbow method; feature scaling; hierarchical clustering; micro-segmentation; personas; principal component analysis; propensity-based segment; silhouette score; standardization; unsupervised learning,GDPR; KVKK; marketing best practices
16,Sıradaki En İyi Aksiyon Modeli,Next Best Action Model,Müşteri Analitiği,"Bir müşteriye herhangi bir temas anında (mobil giriş, şube ziyareti, çağrı merkezi araması) hangi ürünün, hizmetin veya iletişimin en yüksek dönüşüm sağlayacağını tahmin eder. Reinforcement learning veya contextual bandit teknikleri ile sürekli öğrenir ve önerileri kişiselleştirir.","Predicts which product, service, or communication will yield the highest conversion at any customer touchpoint (mobile login, branch visit, call center call). Continuously learns and personalizes recommendations using reinforcement learning or contextual bandit techniques.",A/B testi; Markov karar sureci; NBA; NBO; Thompson orneklemesi; artis modeli; contextual bandit; donusum orani; egilim skoru; frekans sinirlandirma; gercek zamanli karar verme; hiper-kisisellestime; kanal optimizasyonu; karar motoru; kesif-somuru dengeleme; kişiselleştirilmiş öneri; multi-armed bandit; musteri yolculugu orkestrasyonu; olay gudumlu mimari; personalize teklif; reinforcement learning; siradaki en iyi teklif; sıradaki en iyi aksiyon; tedavi etkisi; teklif yonetimi; öneri motoru,A/B testing; Markov decision process; NBA; NBO; Thompson sampling; channel optimization; contextual bandit; conversion rate; customer journey orchestration; decision engine; epsilon-greedy; event-driven architecture; exploration-exploitation tradeoff; frequency capping; hyper-personalization; multi-armed bandit; next best action; next best offer; offer management; personalized recommendation; propensity score; real-time decisioning; recommendation engine; reinforcement learning; treatment effect; uplift model,GDPR consent; KVKK consent; FCA consumer duty
17,Çapraz Satış ve Üst Satış Modeli,Cross-sell and Upsell Model,Müşteri Analitiği,"Mevcut bir müşteriye sahip olduğu ürünlere ek olarak hangi ürünleri (kredi kartı, konut kredisi, mevduat hesabı, sigorta) satabileceğini tahmin eder. Benzer müşterilerin ürün portföyü ve satın alma sırası analiz edilerek market basket analizi ve collaborative filtering teknikleri uygulanır.","Predicts which additional products (credit card, mortgage, deposit account, insurance) can be sold to an existing customer beyond their current portfolio. Uses market basket analysis and collaborative filtering by analyzing similar customers' product portfolios and purchase sequences.",Apriori algoritmasi; NPTB; birliktelik kurali madenciligi; bundling; collaborative filtering; cross-sell; cuzdan payi; cuzdan payi analizi; derin ogrenme islem analizi; destek-guven-kaldirac; ek ürün satış; heterojen topluluk; market basket; otomatik kodlayici ozellik cikarimi; sik ogekumesi; sira tahmini; sonraki satin alinacak urun; tuketim davranisi profilleme; upsell; urun egilim skoru; urun penetrasyon orani; urun sahiplik matrisi; urun yakinligi; uygunluk degerlendirmesi; çapraz satış; ürün önerisi; üst satış,Apriori algorithm; NPTB; affinity; association rule mining; auto-encoder feature extraction; bundling; collaborative filtering; consumption behavior profiling; cross-sell; deep learning transaction analysis; frequent itemset; heterogeneous ensemble; market basket analysis; next product to buy; product affinity; product holding matrix; product penetration rate; product propensity; product propensity score; product recommendation; sequence prediction; share of wallet; suitability assessment; support-confidence-lift; upsell; wallet share analysis,GDPR; KVKK; FCA suitability; FOS
18,Müşteri Kazanım Modeli,Customer Acquisition Model,Müşteri Analitiği,"Pazardaki potansiyel müşterilerden hangilerinin banka müşterisi olma olasılığının en yüksek olduğunu tahmin eder. Dijital pazarlama hedefleme, look-alike modelleme ve kampanya optimizasyonunda kullanılır. Müşteri edinme maliyetini (CAC) düşürür ve dönüşüm oranlarını artırır.","Predicts which prospects in the market have the highest probability of becoming bank customers. Used for digital marketing targeting, look-alike modeling, and campaign optimization. Reduces Customer Acquisition Cost (CAC) and increases conversion rates.",CAC; CPL; LTV/CAC orani; aday puanlama; atif modeli; benzer kitle; coklu temas atfi; conversion; dijital ise alim sureci; dijital pazarlama; donusum egilimi; donusum hunisi; ekosistem kazanimi; huni optimizasyonu; kampanya yatirim getirisi; kanal atfi; lead scoring; lookalike modelleme; musteri kazanim maliyeti; müşteri kazanım; on onay hedefleme; potansiyel musteri basina maliyet; potansiyel müşteri; satın alma niyeti; veri odakli atif; yanit modeli; çevrim,CAC; CPL; LTV to CAC ratio; attribution model; campaign ROI; channel attribution; conversion; conversion funnel; cost per lead; customer acquisition; customer onboarding cost; data-driven attribution; digital marketing; digital onboarding; ecosystem acquisition; funnel optimization; intent prediction; lead scoring; look-alike audience; look-alike modeling; multi-touch attribution; pre-approval targeting; propensity to convert; prospect scoring; prospect targeting; response model,GDPR opt-in; KVKK; ePrivacy; CAN-SPAM
19,Sohbet Botu ve Konuşma Yapay Zekası,Conversational AI Chatbot,NLP,"Müşterilerle doğal dilde Türkçe ve İngilizce metin veya sesli konuşma yaparak bakiye sorgulama, kart bloke, kampanya bilgisi, kredi başvurusu gibi işlemleri otomatikleştirir. Büyük dil modelleri (LLM) ve niyet tanıma (intent recognition) tabanlı çözümler kullanır. Çağrı merkezi yükünü azaltır.","Automates transactions like balance inquiries, card blocking, campaign information, and loan applications by communicating with customers via natural language text or voice in Turkish and English. Uses large language models (LLM) and intent recognition based solutions. Reduces call center workload.",LLM; NLU; RAG; RASA cercevesi; Türkçe NLP; ana bankacilik API; baglam penceresi; bilgi erisimli uretim; chatbot; cok turlu diyalog; conversational AI; dialog flow; diyalog durum takibi; doğal dil işleme; geri donus yonetimi; halusinasyon onleme; ince ayar; insan temsilciye yonlendirme; intent recognition; istem muhendisligi; koruma mekanizmalari; niyet tanıma; sesli asistan; sohbet botu; token siniri; transfer ogrenme; varlik cikarimi; webhook entegrasyonu; yuva doldurma,ChatGPT-like; LLM; NLU; RAG; RASA framework; chatbot; context window; conversational AI; core banking API; dialog flow; dialog state tracking; entity extraction; escalation to human agent; fallback handling; fine-tuning; guardrails; hallucination mitigation; intent recognition; multi-turn dialog; prompt engineering; retrieval augmented generation; slot filling; token limit; transfer learning; virtual agent; voice assistant; webhook integration,ISO/IEC 25010; data residency; GDPR; KVKK
20,Duygu Analizi Modeli,Sentiment Analysis Model,NLP,"Çağrı merkezi konuşma transkriptleri, sosyal medya yorumları, müşteri e-postaları ve şikayet metinlerinden müşteri memnuniyeti veya hoşnutsuzluk seviyesini ölçer. Pozitif, negatif veya nötr sınıflandırması yapar; konu bazlı duygu çıkarımı için BERT tabanlı modeller kullanılır.","Measures customer satisfaction or dissatisfaction levels from call center conversation transcripts, social media comments, customer emails, and complaint texts. Performs positive, negative, or neutral classification; BERT-based models are used for topic-based sentiment extraction.",ABSA; BERT; DeBERTa; NER; NPS analizi; RoBERTa; VoC; adli varlik tanima; aspect-based; cift yonlu LSTM; cok etiketli siniflandirma; degerlendirme puanlama; dikkat mekanizmasi; donusturucu mimari; duygu analizi; gorunus tabanli duygu analizi; ince ayarli BERT; konu bazlı duygu; konu modelleme; kutupluluk siniflandirmasi; metin madenciligi; musteri deneyimi analitigi; musteri sesi; on egitimli dil modeli; opinion mining; pozitif negatif nötr; sentiment; şikayet analizi,ABSA; BERT; DeBERTa; NER; NPS analysis; RoBERTa; VoC; aspect-based sentiment; aspect-based sentiment analysis; attention mechanism; bi-directional LSTM; complaint analysis; customer experience analytics; fine-tuned BERT; multi-label classification; named entity recognition; opinion mining; polarity classification; positive negative neutral; pre-trained language model; sentiment analysis; text mining; topic modeling; transformer architecture; valence scoring; voice of customer,ISO 9001 customer satisfaction; NPS; CX standards
21,Ses Tanıma ve Konuşmadan Metne Modeli,Speech-to-Text Voice Recognition Model,NLP,"Çağrı merkezi konuşmalarını, mobil bankacılık sesli komutlarını ve şube görüşmelerini gerçek zamanlı veya batch olarak metne dönüştürür. Türkçe dilinin dilbilgisel özelliklerine optimize edilmiş Whisper, Wav2Vec2 gibi modeller kullanılır. Konuşma kalite skorlama ve uyum denetimi için altyapı sağlar.","Converts call center conversations, mobile banking voice commands, and branch meetings to text in real-time or batch mode. Uses models like Whisper and Wav2Vec2 optimized for Turkish language grammatical features. Provides infrastructure for conversation quality scoring and compliance auditing.",ASR; STT; Wav2Vec2; Whisper; dil modeli entegrasyonu; duygu algılama; eklemeli dil modeli; etkileşimli sesli yanıt; gerçek zamanlı transkripsiyon; gürültü bastırma; kelime hata oranı; konuşma analitiği; konuşmacı ayrıştırma; konuşmacı doğrulama; konuşmadan metne; otomatik konuşma tanıma; ses tanıma; sesli komut; transkripsiyon; uyum denetimi transkripsiyon; voice biometrics; çağrı merkezi analitiği; çağrı merkezi konuşma,ASR; ASR pipeline; CTC decoding; IVR speech recognition; STT; WER; Wav2Vec2; Whisper; WhisperX; Zemberek NLP; agglutinative language model; automatic speech recognition; call center analytics; compliance auditing transcription; emotion detection; encoder-decoder transformer; language model integration; log-Mel spectrogram; noise suppression; real-time transcription; speaker diarization; speaker verification; speech analytics; speech-to-text; transcription; voice biometrics; voice command; voice recognition; word error rate,GDPR voice data; KVKK; PCI-DSS for recordings
22,Doküman Sınıflandırma ve OCR Modeli,Document Classification and OCR Model,NLP,"Müşterilerin dijital kanallardan yüklediği kimlik kartı, ehliyet, gelir belgesi, fatura ve tapu gibi dokümanları otomatik tanır, içeriklerini optik karakter tanıma ile okur ve doğrular. Kredi başvurusu, hesap açılışı ve KYC süreçlerini hızlandırır; manuel veri girişini ortadan kaldırır.","Automatically recognizes documents like ID cards, driver's licenses, income statements, invoices, and title deeds uploaded by customers through digital channels; reads and validates contents via optical character recognition. Accelerates loan applications, account opening, and KYC processes; eliminates manual data entry.",IDP; KYC otomasyonu; NFC çip doğrulama; Tesseract; akıllı doküman işleme; alan düzeyinde çıkarma; belge sahtecilik tespiti; belge türü sınıflandırma; canlılık tespiti; doküman OCR; eKYC; ehliyet tarama; gelir belgesi; görüntü ön işleme; intelligent document processing; kimlik doğrulama; müşteri durum tespiti; uzaktan müşteri edinimi; veri çıkarma doğruluğu; yapay zeka destekli OCR,AI-powered OCR; CDD; FATF Recommendation 10; ID verification; IDP; IDP pipeline; KYC automation; MRZ reading; NFC chip verification; Tesseract; barcode extraction; binarization; customer due diligence; data extraction accuracy; deskewing; document OCR; document forgery detection; document type classification; eKYC; field-level extraction; image preprocessing; income document; intelligent document processing; liveness detection; remote onboarding; template matching,FATF Rec 10 KYC; eKYC; PCI-DSS; ETSI
23,Şikayet ve E-posta Yönlendirme Modeli,Email and Complaint Routing Model,NLP,"Müşterilerden gelen şikayet, talep ve soru e-postalarını içeriklerine göre otomatik olarak doğru departmana ve uzman ekibe yönlendirir. Konu sınıflandırma, aciliyet skorlama ve duygu durumu birlikte değerlendirilir. İlk yanıt süresini kısaltır ve müşteri memnuniyetini artırır.","Automatically routes customer complaint, request, and inquiry emails to the correct department and specialist team based on content. Topic classification, urgency scoring, and sentiment are evaluated together. Reduces first response time and increases customer satisfaction.",SLA uyum izleme; SLA yönetimi; aciliyet skorlama; bilgi tabanı entegrasyonu; ciddiyet sınıflandırma; departman atama; e-posta sınıflandırma; ilk yanıt süresi; konu modelleme; metin ön işleme hattı; müşteri çaba puanı; otomatik bilet sınıflandırma; otomatik yanıt üretimi; ticket routing; topic classification; yükseltme kuralları motoru; çoklu etiket sınıflandırma; öncelik puanlama; şikayet yönlendirme,BERT text classification; CES; FRT; NMF topic modeling; SLA compliance monitoring; SLA management; TF-IDF vectorization; auto-response generation; automated ticket classification; complaint routing; customer effort score; department assignment; email classification; escalation rules engine; first response time; intent recognition; knowledge base integration; multi-label classification; non-negative matrix factorization; priority scoring; severity classification; text preprocessing pipeline; ticket routing; topic classification; transformer-based routing; urgency scoring,ISO 10002 complaint handling; SLA management
24,ATM Nakit Talep Tahmin Modeli,ATM Cash Demand Forecasting Model,Operasyon,"Her bir ATM cihazının önümüzdeki günlerde ve saatlerde ne kadar nakit talep edeceğini tahmin eder. Lokasyon, mevsimsellik, tatil günleri, maaş günleri ve geçmiş çekiş paternleri kullanılır. Nakit lojistik maliyetlerini düşürür, ATM'nin boş kalma riskini azaltır. ARIMA, Prophet ve LSTM gibi zaman serisi modelleri yaygındır.","Predicts how much cash each ATM device will demand in the coming days and hours. Uses location, seasonality, holidays, payday, and historical withdrawal patterns. Reduces cash logistics costs and minimizes ATM stock-out risk. Time series models like ARIMA, Prophet, and LSTM are commonly used.",ARIMA; ATM nakit; CIT; LSTM; Prophet; atıl nakit maliyeti; cash logistics; doldurma çizelgeleme; fazla stoklama maliyeti; maaş günü etkisi; mevsimsellik; nakit doldurma; nakit geri dönüşümlü ATM; nakit talep tahmini; nakit taşıma optimizasyonu; stok tükenme riski; talep oynaklığı; tatil talep artışı; topluluk tahminleme; zaman serisi; çekiş paterni analizi; çoklu ufuk tahminleme,ARIMA; ATM cash demand; CIT optimization; CIT replenishment; LSTM; Prophet; SARIMA; SVR; TASM4ATM; XGBoost forecasting; cash forecasting; cash logistics; cash recycling ATM; cash-in-transit; demand volatility; ensemble forecasting; holiday demand spike; idle cash cost; multi-horizon forecasting; overstocking cost; payday effect; random forest regression; replenishment scheduling; seasonality; stock-out risk; support vector regression; time series; withdrawal pattern analysis,Internal cash management; PCI-DSS for ATM
25,Şube Yoğunluk ve İş Gücü Planlama Modeli,Branch Footfall and Workforce Planning Model,Operasyon,"Banka şubelerine hangi gün ve saatte ne kadar müşteri geleceğini tahmin eder; gişe, müşteri temsilcisi ve uzman personelin vardiya planlamasını optimize eder. Müşteri bekleme süresini azaltır, personel verimliliğini artırır ve operasyonel maliyetleri düşürür.","Predicts how many customers will visit bank branches on which days and hours; optimizes shift planning for tellers, customer representatives, and specialist staff. Reduces customer wait times, increases staff productivity, and lowers operational costs.",WFM; bekleme süresi; bekleme süresi tahmini; gerçek zamanlı kuyruk izleme; gişe planlama; hizmet seviyesi hedefi; iş gücü planlama; iş yükü dengeleme; işlem türü dağılımı; kuyruk analitiği; müşteri trafik tahmini; ortalama işlem süresi; personel kullanım oranı; queue management; randevu çizelgeleme; self-servis geçişi; trafik tahmini; vardiya optimizasyonu; yoğun saat analizi; çok kanallı iş gücü paylaşımı; şube performans metrikleri; şube yoğunluk,AHT; WFM; appointment scheduling; average handling time; branch footfall; branch performance metrics; customer traffic forecasting; customer wait time prediction; footfall prediction; omnichannel workforce sharing; peak hour analysis; queue analytics; queue management; real-time queue monitoring; self-service migration; service level target; shift optimization; staff utilization rate; teller scheduling; traffic forecasting; transaction type distribution; wait time; walk-in traffic modeling; workforce planning; workload balancing,Workforce management standards; ISO 9001
26,Likidite Tahmin Modeli,Liquidity Forecasting Model,Operasyon,"Bankanın gelecek dönemlerde ihtiyaç duyacağı nakit ve likit varlık miktarını tahmin eder. Mevduat çıkışları, kredi kullandırımları, çek ödemeleri ve piyasa koşulları analiz edilir. Hazine yönetiminin temel girdisi olup likidite risk yönetimi (LCR, NSFR) kapsamında düzenleyici raporlamalarda kullanılır.","Predicts cash and liquid asset amounts the bank will need in future periods. Analyzes deposit outflows, loan disbursements, check payments, and market conditions. Primary input for treasury management; used in regulatory reporting under liquidity risk management (LCR, NSFR).",30 günlük stres senaryosu; ALM; HQLA; LCR; NSFR; acil fonlama planı; aktif pasif yönetimi; dengeleyici kapasite; erken uyarı göstergeleri; fonlama yoğunlaşma riski; gün içi likidite izleme; hayatta kalma ufku; hazine yönetimi; likidite açık analizi; likidite stres testi; likidite tahmini; likidite tamponu; merkez bankası rezervleri; mevduat çıkış oranı; mevduat çıkışı; nakit akışı; net nakit çıkışı; teminata bağlı varlıklar; toptan fonlama yenileme; treasury; yüksek kaliteli likit varlıklar,30-day stress scenario; ALM; CFP; HQLA; High-Quality Liquid Assets; LCR; NSFR; asset liability; cash flow; central bank reserves; contingency funding plan; counterbalancing capacity; deposit outflow; deposit run-off rate; early warning indicators; encumbered assets; funding concentration risk; intraday liquidity monitoring; liquidity buffer; liquidity forecasting; liquidity gap analysis; liquidity stress testing; net cash outflow; survival horizon; treasury management; wholesale funding roll-over,Basel III LCR; Basel III NSFR; BDDK; ICAAP
27,Operasyonel Risk Modeli,Operational Risk Model,Operasyon,"Banka içi süreç hataları, sistem arızaları, insan hataları ve dış olaylar nedeniyle oluşabilecek finansal kayıp riskini modeller. Geçmiş kayıp olayları, kontrol etkinliği ve risk göstergeleri kullanılarak Value at Risk hesaplanır. Basel düzenlemeleri kapsamında sermaye yeterliliği için zorunludur.","Models the risk of financial losses arising from internal process failures, system breakdowns, human errors, and external events. Calculates Value at Risk using historical loss events, control effectiveness, and risk indicators. Required for capital adequacy under Basel regulations.",10 yıllık kayıp verisi; KRI; ORX; OpRisk; SMA; dahili kayıp çarpanı; doğal risk ve artık risk; insan hatası; iş göstergesi bileşeni; iş sürekliliği yönetimi; kayıp dağılım yaklaşımı; key risk indicator; kontrol etkinliği değerlendirmesi; loss event; operasyonel dayanıklılık; operasyonel risk; risk ve kontrol öz değerlendirmesi; senaryo analizi; sistem arızası; standartlaştırılmış ölçüm yaklaşımı; süreç hatası,10-year loss data; BCM; BI component; ILM; KRI; LDA; ORX; ORX loss data consortium; OpRisk; Pillar 1 capital; Pillar 2 supervision; RCSA; SMA; business continuity management; business indicator; control effectiveness assessment; human error; inherent risk vs residual risk; internal loss multiplier; key risk indicator; loss distribution approach; loss event; operational resilience; operational risk; process failure; risk control self-assessment; scenario analysis; standardized measurement approach; system failure,Basel III SMA; Basel II AMA; ORX consortium; ICAAP
28,Riske Maruz Değer Modeli,Value at Risk Model,Yatırım,"Bankanın yatırım portföyünün belirli bir güven aralığında (örneğin 99%) ve belirli bir zaman diliminde (1 gün, 10 gün) maksimum ne kadar değer kaybedebileceğini hesaplar. Tarihsel simülasyon, parametrik VaR ve Monte Carlo simülasyonu yöntemleri kullanılır. Piyasa riski yönetiminin temel ölçüsüdür.","Calculates the maximum value loss the bank's investment portfolio could experience within a specific confidence interval (e.g., 99%) over a specific time period (1 day, 10 days). Uses historical simulation, parametric VaR, and Monte Carlo simulation methods. Fundamental measure of market risk management.",99% güven; ES; Monte Carlo; VaR; alım satım defterinin temel incelemesi; artırımsal risk yükümlülüğü; backtesting; dahili modeller yaklaşımı; duyarlılık bazlı yaklaşım; expected shortfall; kar-zarar atıf testi; koşullu kapsam testi; masa düzeyi onay; modellenemeyen risk faktörleri; piyasa riski; portföy riski; risk faktörü uygunluk testi; riske maruz değer; stresli beklenen kayıp; tarihsel simülasyon; trafik ışığı yaklaşımı,99% confidence; Christoffersen conditional coverage; FRTB; Fundamental Review of the Trading Book; IMA; IRC; Kupiec POF test; Monte Carlo; NMRF; P&L attribution test; RFET; SA-TB; SbA; VaR; backtesting; desk-level approval; expected shortfall; historical simulation; incremental risk charge; internal models approach; market risk; non-modellable risk factors; portfolio risk; risk factor eligibility test; sensitivity-based approach; standardised approach market risk; stressed expected shortfall; traffic light approach; value at risk,Basel III FRTB; Basel III Market Risk; Internal Models; FCA
29,Algoritmik İşlem Modeli,Algorithmic Trading Model,Yatırım,"Hisse senedi, döviz, tahvil ve türev ürünler piyasalarında otomatik alım-satım kararları üretir. Fiyat hareketleri, hacim, volatilite, makro göstergeler ve haber duyguları analiz edilir. Reinforcement learning, time series forecasting ve istatistiksel arbitraj teknikleri kullanılır. Yüksek frekanslı işlemlerde milisaniye hassasiyetiyle çalışır.","Generates automatic buy-sell decisions in stock, foreign exchange, bond, and derivative markets. Analyzes price movements, volume, volatility, macro indicators, and news sentiment. Uses reinforcement learning, time series forecasting, and statistical arbitrage techniques. Operates with millisecond precision in high-frequency trading.",HFT; Sharpe oranı optimizasyonu; akıllı emir yönlendirme; alfa sinyal üretimi; algoritmik işlem; arbitraj; derin pekiştirmeli öğrenme; eşli alım satım; gecikme optimizasyonu; hacim ağırlıklı ortalama fiyat; high frequency trading; icra algoritması; kayma minimizasyonu; limit emir defteri; market making; momentum stratejisi; order book; ortalamaya dönüş stratejisi; piyasa mikro yapısı; quant trading; reinforcement learning trading; trend following; zaman ağırlıklı ortalama fiyat,DRL trading agent; HFT; LOB; RL trading; SOR; Sharpe ratio optimization; TWAP; VWAP; algorithmic trading; alpha signal generation; arbitrage; deep reinforcement learning; execution algorithm; high frequency trading; latency optimization; limit order book; market making; market microstructure; mean reversion strategy; momentum strategy; order book; pairs trading; quant; slippage minimization; smart order routing; tick data analysis; time-weighted average price; trend following; volume-weighted average price,MiFID II; SEC Rule 15c3-5; CFTC Reg AT; FCA
